sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value,videoTime
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:04+03:00,2024-08-02 12:32:02+03:00,2024-08-02 12:32:02+03:00,127.0,2.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:08+03:00,2024-08-02 12:32:03+03:00,2024-08-02 12:32:03+03:00,127.0,3.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:13+03:00,2024-08-02 12:32:08+03:00,2024-08-02 12:32:08+03:00,127.0,8.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:18+03:00,2024-08-02 12:32:13+03:00,2024-08-02 12:32:13+03:00,128.0,13.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:23+03:00,2024-08-02 12:32:22+03:00,2024-08-02 12:32:22+03:00,135.0,22.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:28+03:00,2024-08-02 12:32:27+03:00,2024-08-02 12:32:27+03:00,140.0,27.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:33+03:00,2024-08-02 12:32:28+03:00,2024-08-02 12:32:28+03:00,140.0,28.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:38+03:00,2024-08-02 12:32:34+03:00,2024-08-02 12:32:34+03:00,143.0,34.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:43+03:00,2024-08-02 12:32:41+03:00,2024-08-02 12:32:41+03:00,145.0,41.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:47+03:00,2024-08-02 12:32:44+03:00,2024-08-02 12:32:44+03:00,144.0,44.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:53+03:00,2024-08-02 12:32:52+03:00,2024-08-02 12:32:52+03:00,142.0,52.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:32:58+03:00,2024-08-02 12:32:53+03:00,2024-08-02 12:32:53+03:00,142.0,53.0
