sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value,videoTime
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:38:49+03:00,2024-08-02 12:38:47+03:00,2024-08-02 12:38:47+03:00,125.0,3.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:38:53+03:00,2024-08-02 12:38:50+03:00,2024-08-02 12:38:50+03:00,121.0,6.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:38:58+03:00,2024-08-02 12:38:53+03:00,2024-08-02 12:38:53+03:00,125.0,9.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:03+03:00,2024-08-02 12:39:02+03:00,2024-08-02 12:39:02+03:00,128.0,18.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:08+03:00,2024-08-02 12:39:05+03:00,2024-08-02 12:39:05+03:00,131.0,21.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:13+03:00,2024-08-02 12:39:12+03:00,2024-08-02 12:39:12+03:00,135.0,28.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:18+03:00,2024-08-02 12:39:16+03:00,2024-08-02 12:39:16+03:00,139.0,32.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:23+03:00,2024-08-02 12:39:20+03:00,2024-08-02 12:39:20+03:00,140.0,36.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:28+03:00,2024-08-02 12:39:27+03:00,2024-08-02 12:39:27+03:00,140.0,43.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:33+03:00,2024-08-02 12:39:28+03:00,2024-08-02 12:39:28+03:00,140.0,44.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:38+03:00,2024-08-02 12:39:34+03:00,2024-08-02 12:39:34+03:00,142.0,50.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:43+03:00,2024-08-02 12:39:42+03:00,2024-08-02 12:39:42+03:00,144.0,58.0
Елизавета’s Apple Watch,10.0.1,"<<HKDevice: 0x30025efd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,2, software:10.0.1>",HeartRate,count/min,2024-08-02 12:39:48+03:00,2024-08-02 12:39:43+03:00,2024-08-02 12:39:43+03:00,144.0,59.0
